PGV,N,DesignInitialPsi,InitialPsi,FinalPsi,DeltaPsi,Material,FacadeType,SoilProfile,EarthquakeType
8,4,0.5,0.4699999999999998,0.6799999999999998,0.21000000000000002,0.7,A,A,ZN
16,4,0.5,0.4699999999999998,1.2225000000000006,0.7525000000000008,0.7,A,A,ZN
32,4,0.5,0.4699999999999998,1.3005555555555557,0.8305555555555559,0.7,A,A,ZN
2,8,0.5,0.4699999999999998,0.54,0.07000000000000023,0.7,A,A,ZN
4,8,0.5,0.4699999999999998,0.58,0.11000000000000015,0.7,A,A,ZN
16,8,0.5,0.4699999999999998,1.2225000000000006,0.7525000000000008,0.7,A,A,ZN
8,1,1.0,1.1,1.1200000000000006,0.020000000000000462,0.7,A,A,ZN
128,1,1.0,1.1,3.065999999999999,1.9659999999999989,0.7,A,A,ZN
16,1,1.0,1.1,1.1760000000000004,0.07600000000000029,0.7,A,A,ZN
32,1,1.0,1.1,1.2485,0.14849999999999985,0.7,A,A,ZN
64,1,1.0,1.1,1.6783333333333328,0.5783333333333327,0.7,A,A,ZN
96,1,1.0,1.1,2.511249999999999,1.411249999999999,0.7,A,A,ZN
2,2,1.0,1.1,1.1099999999999999,0.009999999999999787,0.7,A,A,ZN
4,2,1.0,1.1,1.1099999999999999,0.009999999999999787,0.7,A,A,ZN
8,2,1.0,1.1,1.1200000000000006,0.020000000000000462,0.7,A,A,ZN
16,2,1.0,1.1,1.2520000000000002,0.15200000000000014,0.7,A,A,ZN
32,2,1.0,1.1,1.261111111111111,0.16111111111111098,0.7,A,A,ZN
64,2,1.0,1.1,1.7623529411764711,0.662352941176471,0.7,A,A,ZN
2,4,1.0,1.1,1.1099999999999999,0.009999999999999787,0.7,A,A,ZN
4,4,1.0,1.1,1.1099999999999999,0.009999999999999787,0.7,A,A,ZN
8,4,1.0,1.1,1.1200000000000006,0.020000000000000462,0.7,A,A,ZN
16,4,1.0,1.1,1.2520000000000002,0.15200000000000014,0.7,A,A,ZN
32,4,1.0,1.1,1.3122222222222222,0.2122222222222221,0.7,A,A,ZN
2,8,1.0,1.1,1.1099999999999999,0.009999999999999787,0.7,A,A,ZN
4,8,1.0,1.1,1.1099999999999999,0.009999999999999787,0.7,A,A,ZN
16,8,1.0,1.1,1.2520000000000002,0.15200000000000014,0.7,A,A,ZN
8,1,1.5,1.4600000000000004,1.4699999999999995,0.00999999999999912,0.7,A,A,ZN
128,1,1.5,1.4600000000000004,3.507,2.0469999999999997,0.7,A,A,ZN
16,1,1.5,1.4600000000000004,1.6000000000000005,0.14000000000000012,0.7,A,A,ZN
32,1,1.5,1.4600000000000004,1.7316666666666667,0.2716666666666663,0.7,A,A,ZN
64,1,1.5,1.4600000000000004,1.6700000000000006,0.2100000000000002,0.7,A,A,ZN
96,1,1.5,1.4600000000000004,2.6775000000000007,1.2175000000000002,0.7,A,A,ZN
2,2,1.5,1.4600000000000004,1.4600000000000004,0.0,0.7,A,A,ZN
4,2,1.5,1.4600000000000004,1.4600000000000004,0.0,0.7,A,A,ZN
8,2,1.5,1.4600000000000004,1.4699999999999995,0.00999999999999912,0.7,A,A,ZN
16,2,1.5,1.4600000000000004,1.6000000000000005,0.14000000000000012,0.7,A,A,ZN
32,2,1.5,1.4600000000000004,1.728235294117647,0.2682352941176467,0.7,A,A,ZN
64,2,1.5,1.4600000000000004,1.82,0.35999999999999965,0.7,A,A,ZN
2,4,1.5,1.4600000000000004,1.4600000000000004,0.0,0.7,A,A,ZN
4,4,1.5,1.4600000000000004,1.4600000000000004,0.0,0.7,A,A,ZN
